tweet_id,timestamp,text
4138874205,2009-09-21 00:00:00 +0000,O que estão fazendo 6 carbonos de mãos dadas com 6 hidrogênios numa igreja? R: Benzeno #PN_Química
4157741932,2009-09-21 00:00:00 +0000,"Por que o miope não vai ao zológico? R: Porque ele usa lente divergente!
#PN_Física"
4298650024,2009-09-22 00:00:00 +0000,O que a célula disse ao cabelereiro? R: Mitose! #PN_Biologia
4308698038,2009-09-23 00:00:00 +0000,"Qual o animal que tem 3,14 olhos? R: O Piolho #PN_Matemática"
4319528709,2009-09-23 00:00:00 +0000,"Por que o martelo e a tesoura são hidrocarbonetos?
Pq o martelo é propino, e a tesoura é propano #PN_Química"
4333312806,2009-09-24 00:00:00 +0000,"Qual o volume de um tigre morto? R: 4(pi)R³/3 , porque é uma ex-fera. #PN_Matemática"
4349591968,2009-09-24 00:00:00 +0000,Por que o Stalin não atende o telefone? R: Porque ele tem medo de ser um Trótsky #PN_História
4354326393,2009-09-24 00:00:00 +0000,Por que a célula foi ao psicólogo? R: Porque ela tem Complexo de Golgi. #PN_Biologia.
4372463039,2009-09-25 00:00:00 +0000,Como que um elétron faz para se suicidar? R: Ele pula de uma ponte de hidrogênio. #PN_Química
4394768317,2009-09-26 00:00:00 +0000,O que é uma molécula? R: É uma menínula muito sapécula. #PN_Química
4417205944,2009-09-27 00:00:00 +0000,O que é um menino complexo? R: É o que tem a mãe real e o pai imaginário. #PN_Matemática
4442594503,2009-09-28 00:00:00 +0000,O que acontece quando se esfrega uma lâmpada debaixo d'água? R: Nasce um hidrogênio. #PN_Química.
4471784189,2009-09-29 00:00:00 +0000,O que o físico fazia quando queria sair pra brincar mas não tinha tempo? R: Usava Torricelli. #PN_Física
4498280194,2009-09-30 00:00:00 +0000,Como as hemácias se orientam no sangue? R: Seguindo as plaquetas. #PN_Biologia.
4526283290,2009-10-01 00:00:00 +0000,"Como se diferencia hardware de software? R: Jogue os dois no pé, o que doer é o hardware. #PN_Informática."
4539288755,2009-10-02 00:00:00 +0000,ATENÇÃO: A piada desse fim de semana sobre o botijão de C4H10 foi adiada devido a suspeita de vazamento. #comunicado
4555740976,2009-10-02 00:00:00 +0000,Qual é o periodo da história com maior número de zumbis? R: O Renascimento. #PN_História.
4581659696,2009-10-03 00:00:00 +0000,"Qual é o elemento mais bem informado? R: O Frâncio, porque fica do lado do Rádio. #PN_Química"
4606339669,2009-10-04 00:00:00 +0000,"Qual o elemento que vive na sombra? R: O Índio, porque fica embaixo do Gálio! #PN_Química"
4628086127,2009-10-05 00:00:00 +0000,O que a mãe do Índio lhe falou? R: Nunca fale com Estanhos! #PN_Química
4656543788,2009-10-06 00:00:00 +0000,Por que o 13 não bate no 14? R: Porque o 14 é fourteen. #PN_Línguas
4683795057,2009-10-07 00:00:00 +0000,Qual a função do goleiro? R: Pará-bola. #PN_Matemática.
4710795779,2009-10-08 00:00:00 +0000,"Existem no mundo 10 tipos de pessoas. As que entendem, e as que não entendem binário. #PN_Matemática"
4711513767,2009-10-08 00:00:00 +0000,"O @PiadasNerds agradece imensamente a vocês, Nerds, por nos ajudar a ultrapassar 1,100,100 followers!!! Sim, estamos falando em binário."
4738222853,2009-10-09 00:00:00 +0000,O que um álcool falou para o outro? R: Êta nóis. #PN_Química
4763607251,2009-10-10 00:00:00 +0000,Por que a função h(x) não tem segunda derivada? Porque h' tem bico. #PN_Matemática
4784795343,2009-10-11 00:00:00 +0000,O que uma onda diz quando encontra com outra? R: LAMBDA! Porque lambda é o comprimento da onda. #PN_Física
4813322090,2009-10-12 00:00:00 +0000,"Como um matemático cumprimenta um índio? R: ""8π""! E o que ele diz quando o índio não responde? R: ""18π""! #PN_Matemática"
4836757883,2009-10-13 00:00:00 +0000,O que o neurônio diz quando vai dormir? R: Aaaaxônio... #PN_Biologia
4864136575,2009-10-14 00:00:00 +0000,O que o C++ falou para o C? R: Você não tem classe. #PN_informática
4891147521,2009-10-15 00:00:00 +0000,O que o elétron fala quando atende o telefone? R: Próton. #PN_Química
4917694043,2009-10-16 00:00:00 +0000,Por que a galinha atravessou a faixa de Möbius? R: para chegar do mesmo lado! #PN_Matemática
4944288681,2009-10-17 00:00:00 +0000,O que o MMC estava fazendo no pé da escada? R: Esperando o MDC. #PN_Matemática
4975062007,2009-10-18 00:00:00 +0000,O que o carbono disse quando foi preso? R: Eu tenho direito a 4 ligações senão eu quebro essa cadeia! #PN_Química
4992771553,2009-10-19 00:00:00 +0000,O hidrogênio foi preso! Delegado: Você tem direito a uma ligação. Hidrogênio: Pra que? Eu não tenho família. #PN_Química
5024205522,2009-10-20 00:00:00 +0000,Por que o carbono fugiu da cadeia? R: Porque era uma cadeia aberta. #PN_Química.
5071051865,2009-10-22 00:00:00 +0000,"O que a mulher do Einstein disse quando o viu pelado? Uau, que físico! #PN_Física"
